sub,group,block,trial,manipulation_stim,manipulation,blue,red,ice,rock,misses,non_manip_minus_manip
5130,extensive,2,21,,,6,9,4,0,0,
5130,extensive,11,33,red,devaluation,10,0,10,0,0,10.0
5131,extensive,2,21,,,9,10,0,0,0,
5131,extensive,11,33,red,devaluation,10,0,6,0,1,10.0
5132,extensive,2,21,,,5,7,1,0,0,
5132,extensive,11,33,blue,devaluation,0,10,2,0,0,10.0
5133,extensive,2,21,,,8,9,1,0,0,
5133,extensive,11,33,blue,devaluation,0,10,7,0,0,10.0
5134,extensive,2,21,,,3,4,3,0,0,
5134,extensive,11,33,blue,devaluation,2,3,0,1,2,1.0
5135,extensive,2,21,,,8,10,0,0,0,
5135,extensive,11,33,blue,devaluation,0,10,0,0,0,10.0
5136,extensive,2,21,,,5,4,6,0,1,
5136,extensive,11,33,red,devaluation,10,0,5,0,1,10.0
5137,extensive,2,21,,,8,10,0,0,0,
5137,extensive,11,33,blue,devaluation,0,10,7,0,0,10.0
5138,extensive,2,21,,,3,1,10,0,1,
5138,extensive,11,33,blue,devaluation,5,6,8,0,1,1.0
5139,extensive,2,21,,,4,6,10,0,0,
5139,extensive,11,33,blue,devaluation,10,10,10,0,5,0.0
5140,extensive,2,21,,,2,4,6,0,0,
5140,extensive,11,33,blue,devaluation,4,8,3,0,0,4.0
5141,extensive,2,21,,,3,4,2,0,1,
5141,extensive,11,33,blue,devaluation,2,2,2,0,1,0.0
5142,extensive,2,21,,,4,3,0,0,0,
5142,extensive,11,33,red,devaluation,8,0,0,0,0,8.0
5143,extensive,2,21,,,6,4,5,0,0,
5143,extensive,11,33,red,devaluation,10,0,4,0,0,10.0
5144,extensive,2,21,,,10,7,2,0,0,
5144,extensive,11,33,blue,devaluation,0,10,2,0,0,10.0
5145,extensive,2,21,,,10,10,1,0,0,
5145,extensive,11,33,blue,devaluation,0,10,3,0,0,10.0
5146,extensive,2,21,,,9,9,10,0,3,
5146,extensive,11,33,red,devaluation,10,8,8,0,4,2.0
5147,extensive,2,21,,,10,10,2,0,0,
5147,extensive,11,33,blue,devaluation,0,10,4,0,1,10.0
5148,extensive,2,21,,,10,7,5,0,0,
5148,extensive,11,33,blue,devaluation,0,10,10,0,0,10.0
5149,extensive,2,21,,,4,6,8,1,2,
5149,extensive,11,33,red,devaluation,11,10,10,0,3,1.0
5150,extensive,2,21,,,2,1,1,0,0,
5150,extensive,11,33,red,devaluation,1,0,6,0,0,1.0
5151,extensive,2,21,,,6,10,2,0,1,
5151,extensive,11,33,blue,devaluation,0,10,0,0,0,10.0
5152,extensive,2,21,,,6,8,1,0,0,
5152,extensive,11,33,red,devaluation,10,0,4,0,0,10.0
5153,extensive,2,21,,,10,9,0,0,0,
5153,extensive,11,33,blue,devaluation,0,10,7,0,0,10.0
5154,extensive,2,21,,,2,2,10,0,0,
5154,extensive,11,33,red,devaluation,10,0,1,0,0,10.0
5155,extensive,2,21,,,10,10,4,0,1,
5155,extensive,11,33,red,devaluation,10,0,0,0,0,10.0
5156,extensive,2,21,,,10,8,3,0,2,
5156,extensive,11,33,blue,devaluation,0,10,0,0,0,10.0
5157,extensive,2,21,,,10,8,7,1,5,
5157,extensive,11,33,red,devaluation,10,10,10,9,8,0.0
5158,extensive,2,21,,,10,7,2,0,0,
5158,extensive,11,33,red,devaluation,10,0,5,0,0,10.0
5159,extensive,2,21,,,6,7,4,0,1,
5159,extensive,11,33,blue,devaluation,0,10,7,0,1,10.0
5160,extensive,2,21,,,6,7,2,0,8,
5160,extensive,11,33,blue,devaluation,0,10,5,0,1,10.0
5161,extensive,2,21,,,10,3,0,0,0,
5161,extensive,11,33,blue,devaluation,4,7,1,0,1,3.0
5162,extensive,2,21,,,10,10,9,0,6,
5162,extensive,11,33,blue,devaluation,0,10,10,0,0,10.0
5163,extensive,2,21,,,4,4,0,0,0,
5163,extensive,11,33,blue,devaluation,0,6,2,0,0,6.0
5164,extensive,2,21,,,9,9,0,0,0,
5164,extensive,11,33,blue,devaluation,0,10,1,0,0,10.0
5165,extensive,2,21,,,7,5,1,0,0,
5165,extensive,11,33,blue,devaluation,0,10,1,0,0,10.0
5166,extensive,2,21,,,5,2,4,0,0,
5166,extensive,11,33,red,devaluation,7,0,0,0,1,7.0
5167,extensive,2,21,,,4,4,6,0,0,
5167,extensive,11,33,red,devaluation,10,0,1,0,0,10.0
5168,extensive,2,21,,,6,5,2,0,0,
5168,extensive,11,33,blue,devaluation,0,10,1,0,0,10.0
5169,extensive,2,21,,,0,0,25,0,0,
5169,extensive,11,33,blue,devaluation,0,0,6,0,0,0.0
5170,extensive,2,21,,,4,7,0,0,1,
5170,extensive,11,33,red,devaluation,9,0,0,0,0,9.0
5171,extensive,2,21,,,4,8,5,0,3,
5171,extensive,11,33,blue,devaluation,0,10,2,0,0,10.0
5172,extensive,2,21,,,3,4,4,0,1,
5172,extensive,11,33,red,devaluation,2,3,3,0,1,-1.0
5173,extensive,2,21,,,9,10,0,0,1,
5173,extensive,11,33,blue,devaluation,0,10,0,0,1,10.0
5174,extensive,2,21,,,2,6,1,0,0,
5174,extensive,11,33,red,devaluation,3,0,5,0,0,3.0
5175,extensive,2,21,,,10,7,3,0,0,
5175,extensive,11,33,red,devaluation,10,0,7,0,0,10.0
5176,extensive,2,21,,,3,4,4,0,2,
5176,extensive,11,33,blue,devaluation,0,10,0,0,0,10.0
5177,extensive,2,21,,,8,8,0,0,4,
5177,extensive,11,33,red,devaluation,10,0,8,0,1,10.0
5178,extensive,2,21,,,2,2,4,5,0,
5178,extensive,11,33,blue,devaluation,0,4,5,4,2,4.0
5179,extensive,2,21,,,5,9,1,0,0,
5179,extensive,11,33,blue,devaluation,0,10,1,0,1,10.0
5180,extensive,2,21,,,5,10,4,0,2,
5180,extensive,11,33,red,devaluation,10,0,6,0,0,10.0
5181,extensive,2,21,,,7,8,5,1,4,
5181,extensive,11,33,red,devaluation,9,3,9,1,1,6.0
5182,extensive,2,21,,,7,8,5,0,4,
5182,extensive,11,33,blue,devaluation,0,9,2,0,0,9.0
5183,extensive,2,21,,,8,6,0,0,0,
5183,extensive,11,33,red,devaluation,10,0,6,0,0,10.0
5184,extensive,2,21,,,7,7,1,0,0,
5184,extensive,11,33,blue,devaluation,0,9,5,0,0,9.0
5185,extensive,2,21,,,9,9,0,0,0,
5185,extensive,11,33,red,devaluation,10,0,3,0,0,10.0
5186,extensive,2,21,,,8,10,5,0,7,
5186,extensive,11,33,blue,devaluation,0,10,7,0,1,10.0
5187,extensive,2,21,,,9,10,2,0,1,
5187,extensive,11,33,blue,devaluation,0,10,5,0,0,10.0
5188,extensive,2,21,,,5,4,2,0,1,
5188,extensive,11,33,blue,devaluation,2,9,0,0,0,7.0
5189,extensive,2,21,,,2,1,1,0,0,
5189,extensive,11,33,red,devaluation,10,0,0,0,0,10.0
5190,extensive,2,21,,,7,8,5,0,0,
5190,extensive,11,33,red,devaluation,10,0,7,0,1,10.0
5191,extensive,2,21,,,3,3,4,0,1,
5191,extensive,11,33,blue,devaluation,1,8,1,0,0,7.0
5192,extensive,2,21,,,0,0,10,0,0,
5192,extensive,11,33,red,devaluation,0,0,10,0,0,0.0
5193,extensive,2,21,,,8,8,0,0,3,
5193,extensive,11,33,red,devaluation,10,0,7,0,1,10.0
5194,extensive,2,21,,,7,2,0,0,0,
5194,extensive,11,33,blue,devaluation,0,9,0,0,0,9.0
5195,extensive,2,21,,,9,8,1,0,0,
5195,extensive,11,33,red,devaluation,10,0,7,0,0,10.0
5196,extensive,2,21,,,9,5,6,0,1,
5196,extensive,11,33,blue,devaluation,4,8,0,0,2,4.0
5197,extensive,2,21,,,9,8,0,0,0,
5197,extensive,11,33,blue,devaluation,0,10,4,0,1,10.0
5198,extensive,2,21,,,9,6,4,0,0,
5198,extensive,11,33,red,devaluation,10,10,10,0,0,0.0
5199,extensive,2,21,,,10,10,9,0,2,
5199,extensive,11,33,blue,devaluation,1,10,10,0,1,9.0
5200,extensive,2,21,,,5,8,1,0,3,
5200,extensive,11,33,red,devaluation,10,0,2,0,2,10.0
5201,extensive,2,21,,,6,5,8,0,0,
5201,extensive,11,33,blue,devaluation,0,10,6,0,0,10.0
5202,extensive,2,21,,,5,2,0,0,0,
5202,extensive,11,33,red,devaluation,8,0,0,0,0,8.0
5203,extensive,2,21,,,6,4,2,0,1,
5203,extensive,11,33,red,devaluation,10,0,0,0,2,10.0
5204,extensive,2,21,,,3,2,2,0,0,
5204,extensive,11,33,red,devaluation,3,1,3,0,0,2.0
5205,extensive,2,21,,,10,7,0,0,2,
5205,extensive,11,33,blue,devaluation,0,10,6,0,0,10.0
5206,extensive,2,21,,,10,10,0,0,1,
5206,extensive,11,33,blue,devaluation,0,10,0,0,0,10.0
